Episode,Reward,Mean_Reward
519,36.0,19.34
520,35.0,19.68
521,12.0,19.48
522,24.0,19.3
523,11.0,19.04
524,32.0,19.38
525,29.0,19.44
526,20.0,19.54
527,28.0,19.9
528,12.0,19.54
529,9.0,19.08
530,26.0,19.16
531,23.0,18.88
532,23.0,18.98
533,10.0,18.98
534,10.0,18.94
535,16.0,18.76
536,9.0,18.76
537,26.0,19.08
538,8.0,19.04
539,8.0,19.02
540,26.0,19.16
541,23.0,19.06
542,22.0,19.28
543,26.0,19.1
544,11.0,19.1
545,10.0,18.78
546,14.0,18.42
547,11.0,18.44
548,18.0,18.28
549,13.0,18.32
550,10.0,18.32
551,10.0,18.08
552,8.0,18.06
553,33.0,18.52
554,40.0,19.14
555,23.0,18.92
556,27.0,19.26
557,10.0,18.98
558,18.0,18.76
559,22.0,18.98
560,11.0,18.98
561,15.0,18.84
562,18.0,18.56
563,9.0,18.32
564,25.0,18.52
565,31.0,18.94
566,20.0,18.86
567,10.0,18.6
568,12.0,18.66
569,9.0,18.12
570,18.0,17.78
571,39.0,18.32
572,11.0,18.06
573,15.0,18.14
574,40.0,18.3
575,10.0,17.92
576,9.0,17.7
577,10.0,17.34
578,69.0,18.48
579,9.0,18.48
580,15.0,18.26
581,8.0,17.96
582,13.0,17.76
583,9.0,17.74
584,22.0,17.98
585,10.0,17.86
586,17.0,18.02
587,15.0,17.8
588,10.0,17.84
589,9.0,17.86
590,17.0,17.68
591,11.0,17.44
592,36.0,17.72
593,10.0,17.4
594,25.0,17.68
595,8.0,17.64
596,9.0,17.54
597,23.0,17.78
598,10.0,17.62
599,10.0,17.56
600,15.0,17.66
601,9.0,17.64
602,8.0,17.64
603,24.0,17.46
604,10.0,16.86
605,11.0,16.62
606,10.0,16.28
607,9.0,16.26
608,10.0,16.1
609,8.0,15.82
610,55.0,16.7
611,9.0,16.58
612,21.0,16.64
613,10.0,16.66
614,16.0,16.48
615,15.0,16.16
616,27.0,16.3
617,10.0,16.3
618,12.0,16.3
619,9.0,16.3
620,23.0,16.4
621,11.0,15.84
622,18.0,15.98
623,10.0,15.88
624,20.0,15.48
625,14.0,15.56
626,10.0,15.58
627,19.0,15.76
628,10.0,14.58
629,10.0,14.6
630,8.0,14.46
631,11.0,14.52
632,27.0,14.8
633,11.0,14.84
634,22.0,14.84
635,10.0,14.84
636,11.0,14.72
637,22.0,14.86
638,10.0,14.86
639,9.0,14.86
640,13.0,14.78
641,19.0,14.94
642,23.0,14.68
643,10.0,14.68
644,9.0,14.36
645,17.0,14.54
646,11.0,14.58
647,9.0,14.3
648,9.0,14.28
649,26.0,14.6
650,21.0,14.72
651,9.0,14.72
652,10.0,14.76
653,8.0,14.44
654,11.0,14.46
655,9.0,14.42
656,23.0,14.68
657,13.0,14.76
658,28.0,15.12
659,9.0,15.14
660,12.0,14.28
661,21.0,14.52
662,26.0,14.62
663,10.0,14.62
664,12.0,14.54
665,10.0,14.44
666,21.0,14.32
667,11.0,14.34
668,20.0,14.5
669,9.0,14.5
670,21.0,14.46
671,20.0,14.64
672,14.0,14.56
673,24.0,14.84
674,12.0,14.68
675,9.0,14.58
676,45.0,15.28
677,11.0,15.12
678,23.0,15.38
679,27.0,15.72
680,20.0,15.96
681,9.0,15.92
682,17.0,15.72
683,11.0,15.72
684,10.0,15.48
685,12.0,15.52
686,25.0,15.8
687,23.0,15.82
688,11.0,15.84
689,16.0,15.98
690,42.0,16.56
691,45.0,17.08
692,14.0,16.9
693,8.0,16.86
694,31.0,17.3
695,35.0,17.66
696,22.0,17.88
697,10.0,17.9
698,12.0,17.96
699,18.0,17.8
700,23.0,17.84
