Episode,Steps,Mean_Reward
841,95882,191.04
842,95934,188.2
843,96044,186.68
844,96055,180.54
845,96484,184.52
846,96702,184.56
847,96796,181.74
848,96822,175.36
849,96950,174.7
850,97044,173.66
851,97297,173.04
852,97674,176.84
853,97907,177.44
854,97979,174.7
855,98025,172.6
856,98420,176.3
857,98485,173.22
858,98644,172.86
859,98784,173.36
860,98924,174.86
861,99273,180.24
862,99773,189.14
863,99903,186.86
864,100039,187.7
865,100263,190.58
866,100479,193.5
867,100673,190.9
868,100872,189.58
869,100884,188.02
870,100969,183.84
871,101081,176.98
872,101200,175.02
873,101310,172.52
874,101528,168.12
875,101708,169.42
876,101837,166.98
877,102185,173.64
878,102284,172.94
879,102380,170.96
880,102461,172.36
881,102688,173.24
882,102715,172.58
883,102926,172.46
884,103136,174.68
885,103453,177.96
886,103831,182.98
887,104032,183.38
888,104042,179.68
889,104091,177.42
890,104211,176.58
891,104399,170.34
892,104538,172.08
893,104682,172.76
894,104871,176.32
895,105371,177.74
896,105632,178.6
897,105838,180.84
898,106058,184.72
899,106319,187.38
900,106562,190.36
901,106936,192.78
902,107204,190.6
903,107371,189.28
904,107566,191.74
905,107843,196.36
906,108071,193.02
907,108228,194.86
908,108559,198.3
909,109059,205.5
910,109429,210.1
911,109723,209.0
912,110109,206.72
913,110269,207.32
914,110564,210.5
915,110689,208.52
916,111131,213.04
917,111631,219.16
918,111701,216.58
919,112201,226.34
920,112527,231.16
921,112657,231.52
922,112857,233.14
923,113357,240.94
924,113368,236.8
925,113379,233.42
926,113789,239.04
927,114031,236.92
928,114531,244.94
929,115031,253.02
930,115438,259.54
931,115802,262.28
932,115898,263.66
933,116141,264.3
934,116466,266.6
935,116912,269.18
936,117147,266.32
937,117647,272.3
938,118039,279.94
939,118539,288.96
940,118777,291.32
941,119071,293.44
942,119084,290.92
943,119152,289.4
944,119257,287.72
945,119463,281.84
946,119618,279.72
947,119773,278.7
948,119874,276.32
949,120030,274.22
950,120147,271.7
951,120241,266.1
952,120730,270.52
953,120947,271.52
954,121150,271.68
955,121650,276.14
956,121943,277.44
957,122108,277.6
958,122498,278.78
959,122670,272.22
960,122846,268.34
961,122859,262.72
962,122871,255.24
963,123083,256.28
964,123254,253.8
965,123713,260.48
966,123779,252.96
967,124034,248.06
968,124329,252.56
969,124343,242.84
970,124518,239.82
971,124666,240.18
972,125166,246.18
973,125399,240.84
974,125667,245.98
975,125803,248.48
976,125924,242.7
977,126187,243.12
978,126273,234.84
979,126385,227.08
980,126473,220.7
981,126659,217.14
982,127159,225.22
983,127298,223.14
984,127524,221.16
985,127589,213.54
986,127713,211.32
987,127949,206.04
988,128093,201.08
989,128289,195.0
990,128459,193.64
991,128469,187.96
992,128690,192.12
993,128873,194.42
994,129015,195.16
995,129483,200.4
996,129983,207.3
997,130174,208.02
998,130323,208.98
999,130443,208.26
