Episode,Reward,Mean_Reward
486,9.0,23.66
487,27.0,24.0
488,30.0,23.42
489,10.0,22.8
490,11.0,22.44
491,39.0,22.92
492,21.0,22.02
493,9.0,22.0
494,58.0,22.98
495,33.0,23.34
496,21.0,22.76
497,10.0,22.04
498,55.0,22.96
499,12.0,22.36
500,49.0,22.3
501,10.0,21.7
502,10.0,21.68
503,79.0,22.46
504,12.0,22.48
505,11.0,21.64
506,50.0,22.26
507,68.0,23.36
508,19.0,23.54
509,45.0,23.42
510,12.0,23.46
511,21.0,23.7
512,9.0,22.2
513,70.0,23.3
514,75.0,24.62
515,9.0,24.62
516,41.0,24.74
517,11.0,24.78
518,11.0,23.92
519,36.0,24.28
520,23.0,24.54
521,44.0,25.2
522,27.0,25.56
523,19.0,25.74
524,48.0,26.54
525,8.0,26.52
526,51.0,27.32
527,14.0,27.42
528,12.0,27.48
529,9.0,27.44
530,11.0,27.4
531,38.0,27.82
532,36.0,27.3
533,13.0,27.32
534,9.0,27.28
535,10.0,27.3
536,10.0,27.32
537,17.0,27.12
538,31.0,27.14
539,27.0,27.48
540,20.0,27.66
541,17.0,27.22
542,19.0,27.18
543,16.0,27.32
544,12.0,26.4
545,11.0,25.96
546,17.0,25.88
547,33.0,26.34
548,9.0,25.42
549,39.0,25.96
550,25.0,25.48
551,24.0,25.76
552,23.0,26.02
553,8.0,24.6
554,38.0,25.12
555,34.0,25.58
556,35.0,25.28
557,19.0,24.3
558,11.0,24.14
559,15.0,23.54
560,28.0,23.86
561,29.0,24.02
562,27.0,24.38
563,9.0,23.16
564,58.0,22.82
565,40.0,23.44
566,9.0,22.8
567,12.0,22.82
568,60.0,23.8
569,9.0,23.26
570,31.0,23.42
571,14.0,22.82
572,12.0,22.52
573,13.0,22.4
574,10.0,21.64
575,28.0,22.04
576,25.0,21.52
577,11.0,21.46
578,13.0,21.48
579,69.0,22.68
580,17.0,22.8
581,85.0,23.74
582,31.0,23.64
583,22.0,23.82
584,23.0,24.1
585,29.0,24.48
586,9.0,24.46
587,8.0,24.28
588,12.0,23.9
589,26.0,23.88
590,46.0,24.4
591,21.0,24.48
592,43.0,24.96
593,30.0,25.24
594,11.0,25.22
595,13.0,25.26
596,21.0,25.34
597,10.0,24.88
598,17.0,25.04
599,11.0,24.48
600,26.0,24.5
601,21.0,24.44
602,8.0,24.14
603,9.0,24.16
604,55.0,24.5
605,9.0,24.0
606,12.0,23.54
607,60.0,24.36
608,9.0,24.32
609,11.0,24.24
610,12.0,23.92
611,37.0,24.08
612,8.0,23.7
