episode,total_reward,loss,epsilon
489,5.0,0.030216990038752556,0.1
490,3.0,0.07683183252811432,0.1
491,3.0,0.07586158066987991,0.1
492,3.0,0.0301560927182436,0.1
493,2.0,0.03036966547369957,0.1
494,1.0,0.000690053275320679,0.1
495,7.0,0.5361949801445007,0.1
496,3.0,1.2074324331479147e-05,0.1
497,3.0,2.3118571334634908e-05,0.1
498,0.0,0.04373723268508911,0.1
499,3.0,0.04338785260915756,0.1
500,2.0,1.4706208730785875e-06,0.1
